segment,hydro_scenario,degradation_scenario,time_yr,element,x_mid_m,is_node_zone,q_effective_N_m,deflection_mm,sigma_bending_MPa,tau_shear_MPa,failure_index,failure_mode,E_L_GPa,sigma_t_ult_MPa,tau_ult_MPa,sed_fill_pct,veg_factor,deg_factor,defl_span_ratio,wall_thickness_mm
SUP,median,optimistic,0.0,18,0.935,False,174.7167,0.3005,0.81271,0.028385,2.8e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,19,1.005,False,174.7167,0.2756,0.752536,0.034369,2.9e-05,bending,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,20,1.075,False,174.7167,0.2448,0.680885,0.040352,3.1e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,21,1.145,False,174.7167,0.2087,0.59776,0.046336,3.2e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,22,1.185,True,174.7167,0.2032,0.982035,0.089559,0.00022,shear,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,23,1.195,True,174.7167,0.1976,0.957288,0.091098,0.000225,shear,12.0,180.0,6.5,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,24,1.2375,False,174.7167,0.1528,0.470243,0.054243,3.6e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,25,1.3125,False,174.7167,0.1041,0.352198,0.060654,4.1e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,26,1.3875,False,174.7167,0.0528,0.220979,0.067065,4.6e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.0,27,1.4625,False,174.7167,0.0,0.076587,0.073476,5.4e-05,shear,12.0,180.0,10.0,0.0,0.018,1.0,0.000223,15.0
SUP,median,optimistic,0.5,0,0.035,False,135.0465,0.0416,0.058291,0.060664,3.8e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,1,0.105,False,135.0465,0.0823,0.168849,0.055901,3.3e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,2,0.175,False,135.0465,0.1212,0.27037,0.051137,2.9e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,3,0.245,False,135.0465,0.1574,0.362855,0.046373,2.6e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,4,0.285,True,135.0465,0.1623,0.741626,0.078571,0.000168,shear,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,5,0.295,True,135.0465,0.1671,0.762752,0.077346,0.000164,shear,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,6,0.335,False,135.0465,0.1989,0.468485,0.040248,2.4e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,7,0.405,False,135.0465,0.2265,0.540314,0.035484,2.2e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,8,0.475,False,135.0465,0.2493,0.603107,0.03072,2.1e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,9,0.545,False,135.0465,0.267,0.656863,0.025956,2.1e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,10,0.585,True,135.0465,0.269,1.231006,0.041822,9.1e-05,bending,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,11,0.595,True,135.0465,0.271,1.242173,0.040597,8.9e-05,bending,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,12,0.635,False,135.0465,0.2813,0.712699,0.019831,2e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,13,0.705,False,135.0465,0.2855,0.7458,0.015068,2e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,14,0.775,False,135.0465,0.2835,0.763974,0.002115,1.9e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,15,0.845,False,135.0465,0.2752,0.737774,0.019298,2.1e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,16,0.885,True,135.0465,0.2735,1.288349,0.039637,9.1e-05,bending,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,17,0.895,True,135.0465,0.2717,1.277441,0.040862,9.3e-05,bending,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,18,0.935,False,135.0465,0.2559,0.683238,0.025423,2.2e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,19,1.005,False,135.0465,0.2345,0.630494,0.030187,2.2e-05,bending,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,20,1.075,False,135.0465,0.2083,0.568713,0.034951,2.3e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,21,1.145,False,135.0465,0.1775,0.497895,0.039715,2.4e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,22,1.185,True,135.0465,0.1728,0.81673,0.076387,0.000164,shear,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,23,1.195,True,135.0465,0.168,0.795864,0.077611,0.000167,shear,11.8213,177.3201,6.4032,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,24,1.2375,False,135.0465,0.1299,0.390398,0.04601,2.7e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,25,1.3125,False,135.0465,0.0885,0.291699,0.051114,3e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,26,1.3875,False,135.0465,0.0448,0.182627,0.056218,3.4e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,0.5,27,1.4625,False,135.0465,0.0,0.063181,0.061322,3.9e-05,shear,11.8213,177.3201,9.8511,17.5,0.0474,0.9851,0.00019,14.5
SUP,median,optimistic,1.0,0,0.035,False,103.5094,0.0355,0.04803,0.050568,2.7e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,1,0.105,False,103.5094,0.0701,0.139381,0.046803,2.4e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,2,0.175,False,103.5094,0.1032,0.223668,0.043038,2.1e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,3,0.245,False,103.5094,0.1342,0.300889,0.039273,1.9e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,4,0.285,True,103.5094,0.1384,0.615837,0.066818,0.000125,shear,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,5,0.295,True,103.5094,0.1425,0.633618,0.06585,0.000122,shear,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,6,0.335,False,103.5094,0.1697,0.389793,0.034432,1.8e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,7,0.405,False,103.5094,0.1933,0.450866,0.030666,1.7e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,8,0.475,False,103.5094,0.2129,0.504874,0.026901,1.6e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,9,0.545,False,103.5094,0.228,0.551817,0.023136,1.6e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,10,0.585,True,103.5094,0.2298,1.036365,0.037772,7.1e-05,shear,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,11,0.595,True,103.5094,0.2315,1.04636,0.036804,7e-05,bending,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,12,0.635,False,103.5094,0.2404,0.601792,0.018295,1.5e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,13,0.705,False,103.5094,0.2441,0.632587,0.01453,1.5e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,14,0.775,False,103.5094,0.2424,0.650441,0.001762,1.4e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,15,0.845,False,103.5094,0.2353,0.625974,0.018054,1.6e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,16,0.885,True,103.5094,0.2338,1.090352,0.036371,7.2e-05,bending,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,17,0.895,True,103.5094,0.2323,1.080473,0.037339,7.3e-05,bending,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,18,0.935,False,103.5094,0.2186,0.57658,0.022895,1.6e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,19,1.005,False,103.5094,0.2004,0.530088,0.026661,1.7e-05,bending,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,20,1.075,False,103.5094,0.1778,0.476531,0.030426,1.7e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,21,1.145,False,103.5094,0.1515,0.41591,0.034191,1.8e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,22,1.185,True,103.5094,0.1475,0.681093,0.065417,0.000123,shear,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,23,1.195,True,103.5094,0.1434,0.663429,0.066385,0.000125,shear,11.6453,174.6802,6.3079,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,24,1.2375,False,103.5094,0.1108,0.324923,0.039166,2e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,25,1.3125,False,103.5094,0.0755,0.242129,0.043201,2.2e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,26,1.3875,False,103.5094,0.0382,0.151225,0.047235,2.4e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.0,27,1.4625,False,103.5094,0.0,0.052211,0.051269,2.8e-05,shear,11.6453,174.6802,9.7045,35.0,0.1192,0.9704,0.000163,14.0
SUP,median,optimistic,1.5,0,0.035,False,86.0464,0.032,0.042194,0.044929,2.2e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,1,0.105,False,86.0464,0.0632,0.122584,0.041697,2e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,2,0.175,False,86.0464,0.0931,0.196976,0.038465,1.7e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,3,0.245,False,86.0464,0.121,0.26537,0.035234,1.6e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,4,0.285,True,86.0464,0.1248,0.543607,0.060097,0.000104,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,5,0.295,True,86.0464,0.1286,0.559431,0.059266,0.000102,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,6,0.335,False,86.0464,0.1531,0.344491,0.031079,1.5e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,7,0.405,False,86.0464,0.1745,0.399175,0.027847,1.4e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,8,0.475,False,86.0464,0.1923,0.447861,0.024616,1.3e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,9,0.545,False,86.0464,0.206,0.49055,0.021384,1.3e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,10,0.585,True,86.0464,0.2076,0.92249,0.035167,6.1e-05,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,11,0.595,True,86.0464,0.2091,0.931705,0.034336,6e-05,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,12,0.635,False,86.0464,0.2172,0.536621,0.017229,1.3e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,13,0.705,False,86.0464,0.2206,0.5656,0.013997,1.3e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,14,0.775,False,86.0464,0.2191,0.582858,0.001565,1.1e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,15,0.845,False,86.0464,0.2126,0.559789,0.017128,1.4e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,16,0.885,True,86.0464,0.2113,0.973601,0.034154,6.2e-05,bending,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,17,0.895,True,86.0464,0.2099,0.964435,0.034985,6.3e-05,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,18,0.935,False,86.0464,0.1976,0.51396,0.021283,1.4e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,19,1.005,False,86.0464,0.181,0.471459,0.024514,1.4e-05,bending,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,20,1.075,False,86.0464,0.1606,0.422961,0.027746,1.4e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,21,1.145,False,86.0464,0.1368,0.368465,0.030978,1.5e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,22,1.185,True,86.0464,0.1332,0.602777,0.059084,0.000103,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,23,1.195,True,86.0464,0.1295,0.587001,0.059915,0.000105,shear,11.472,172.0795,6.214,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,24,1.2375,False,86.0464,0.1,0.287216,0.035248,1.6e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,25,1.3125,False,86.0464,0.0681,0.213679,0.03871,1.8e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,26,1.3875,False,86.0464,0.0345,0.133257,0.042173,2e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,1.5,27,1.4625,False,86.0464,0.0,0.045949,0.045635,2.3e-05,shear,11.472,172.0795,9.56,47.5,0.2689,0.956,0.000147,13.5
SUP,median,optimistic,2.0,0,0.035,False,74.686,0.0295,0.038095,0.041015,1.9e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,1,0.105,False,74.686,0.0583,0.110735,0.038115,1.7e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,2,0.175,False,74.686,0.0858,0.178051,0.035215,1.5e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,3,0.245,False,74.686,0.1116,0.240043,0.032315,1.4e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,4,0.285,True,74.686,0.1151,0.49193,0.055184,9e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,5,0.295,True,74.686,0.1185,0.506306,0.054439,8.8e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,6,0.335,False,74.686,0.1412,0.311924,0.028587,1.3e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,7,0.405,False,74.686,0.1609,0.361746,0.025687,1.2e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,8,0.475,False,74.686,0.1773,0.406244,0.022787,1.2e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,9,0.545,False,74.686,0.19,0.445418,0.019887,1.1e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,10,0.585,True,74.686,0.1915,0.838135,0.032813,5.3e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,11,0.595,True,74.686,0.1929,0.846643,0.032068,5.2e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,12,0.635,False,74.686,0.2004,0.487962,0.016158,1.1e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,13,0.705,False,74.686,0.2035,0.514966,0.013258,1.1e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,14,0.775,False,74.686,0.2021,0.531236,0.001429,1e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,15,0.845,False,74.686,0.1961,0.50972,0.016116,1.2e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,16,0.885,True,74.686,0.1949,0.88589,0.031991,5.5e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,17,0.895,True,74.686,0.1936,0.877401,0.032737,5.5e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,18,0.935,False,74.686,0.1822,0.467278,0.019844,1.2e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,19,1.005,False,74.686,0.1669,0.428182,0.022744,1.2e-05,bending,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,20,1.075,False,74.686,0.1481,0.383763,0.025644,1.3e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,21,1.145,False,74.686,0.1261,0.334019,0.028544,1.3e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,22,1.185,True,74.686,0.1228,0.546157,0.054362,8.9e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,23,1.195,True,74.686,0.1194,0.531801,0.055107,9.1e-05,shear,11.3012,169.5176,6.1215,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,24,1.2375,False,74.686,0.0922,0.260087,0.032376,1.4e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,25,1.3125,False,74.686,0.0628,0.193344,0.035483,1.5e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,26,1.3875,False,74.686,0.0318,0.120488,0.03859,1.7e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.0,27,1.4625,False,74.686,0.0,0.041521,0.041697,2e-05,shear,11.3012,169.5176,9.4176,60.0,0.5,0.9418,0.000136,13.0
SUP,median,optimistic,2.5,0,0.035,False,70.2344,0.0286,0.036456,0.039674,1.8e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,1,0.105,False,70.2344,0.0565,0.105949,0.036851,1.6e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,2,0.175,False,70.2344,0.0832,0.170315,0.034028,1.4e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,3,0.245,False,70.2344,0.1081,0.229552,0.031204,1.3e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,4,0.285,True,70.2344,0.1115,0.470356,0.053263,8.6e-05,shear,11.1329,166.9938,6.0303,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,5,0.295,True,70.2344,0.1149,0.484081,0.052537,8.4e-05,shear,11.1329,166.9938,6.0303,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,6,0.335,False,70.2344,0.1368,0.298179,0.027574,1.2e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,7,0.405,False,70.2344,0.1559,0.345695,0.02475,1.1e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,8,0.475,False,70.2344,0.1718,0.388084,0.021927,1.1e-05,shear,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,9,0.545,False,70.2344,0.1841,0.425344,0.019104,1.1e-05,bending,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,10,0.585,True,70.2344,0.1856,0.800176,0.031482,5e-05,shear,11.1329,166.9938,6.0303,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,11,0.595,True,70.2344,0.1869,0.80825,0.030756,4.9e-05,shear,11.1329,166.9938,6.0303,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,12,0.635,False,70.2344,0.1942,0.465715,0.015473,1.1e-05,bending,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
SUP,median,optimistic,2.5,13,0.705,False,70.2344,0.1972,0.491254,0.01265,1.1e-05,bending,11.1329,166.9938,9.2774,67.5,0.7311,0.9277,0.000131,12.5
