key,status,bib_type,bib_year,crossref_year,bib_doi,crossref_doi,similarity,bib_title,crossref_title,note
budhe_et_al_2019,OK_CROSSREF,article,2019,2019,10.1007/s40430-019-1766-z,10.1007/s40430-019-1766-z,1.000,Theoretical assessment of the elastic modulus of natural fiber-based intra-ply hybrid composites,Theoretical assessment of the elastic modulus of natural fiber-based intra-ply hybrid composites,DOI confirmado no Crossref.
caputo_2015,OK_METADATA_NO_DOI,book,2015,,,,,Mec\^anica dos Solos e suas Aplicac\~oes: Fundamentos,,"Sem DOI, mas com metadados suficientes."
cassol_et_al_2023,OK_METADATA_NO_DOI,article,2023,,,,,Natural fertility and intrinsic fragility of soils in the Brazilian Cerrado,,"Sem DOI, mas com metadados suficientes."
castillo_2014,OK_CROSSREF,article,2014,2014,10.5194/hess-18-1705-2014,10.5194/hess-18-1705-2014,1.000,"A conceptual model of check dam hydraulics for gully control: efficiency, optimal spacing and relation with step-pools","A conceptual model of check dam hydraulics for gully control: efficiency, optimal spacing and relation with step-pools",DOI confirmado no Crossref.
correal_ramirez_pena_2025,OK_CROSSREF,article,2025,2025,10.1016/j.conbuildmat.2025.140058,10.1016/j.conbuildmat.2025.140058,1.000,Behavior of bamboo properties as a construction material under artificial aging and weathering acceleration factors,Behavior of bamboo properties as a construction material under artificial aging and weathering acceleration factors,DOI confirmado no Crossref.
de_moraes_et_al_2006,OK_CROSSREF,article,2006,2006,10.1002/hyp.6213,10.1002/hyp.6213,1.000,Water storage and runoff processes in plinthic soils under forest and pasture in eastern Amazonia,Water storage and runoff processes in plinthic soils under forest and pasture in eastern Amazonia,DOI confirmado no Crossref.
de_oliveira_et_al_2024,OK_METADATA_NO_DOI,article,2024,,,,,Soil erosion vulnerability in Brazilian semiarid,,"Sem DOI, mas com metadados suficientes."
deroo_1992,OK_CROSSREF,article,1992,1992,10.1016/0341-8162(92)90026-8,10.1016/0341-8162(92)90026-8,1.000,Infiltration experiments on loess soils and their implications for modelling surface runoff and soil erosion,Infiltration experiments on loess soils and their implications for modelling surface runoff and soil erosion,DOI confirmado no Crossref.
firoozi_firoozi_2024,OK_METADATA_NO_DOI,article,2024,,,,,"Water erosion processes: Mechanisms, impact, and management strategies",,"Sem DOI, mas com metadados suficientes."
fontes_2021_erosion_control_with_geotext,OK_CROSSREF,article,2021,2021,10.14393/rcg228456549,10.14393/rcg228456549,1.000,Erosion control with geotextiles from natural fibers in the margin of the São Francisco River,EROSION CONTROL WITH GEOTEXTILES FROM NATURAL FIBERS IN THE MARGIN OF THE SÃO FRANCISCO RIVER,DOI confirmado no Crossref.
frankl_et_al_2021,OK_METADATA_NO_DOI,article,2021,,,,,"Gully prevention and control: Techniques, failures and effectiveness",,"Sem DOI, mas com metadados suficientes."
fredlund_rahardjo_1993,OK_METADATA_NO_DOI,book,1993,,,,,Soil mechanics for unsaturated soils,,"Sem DOI, mas com metadados suficientes."
galia_et_al_2022,OK_CROSSREF,incollection,2022,2022,10.1002/9781119742449.ch12,10.1002/9781119742449.ch12,1.000,Effect of Check Dams on Sediment Connectivity,Effect of Check Dams on Sediment Connectivity,DOI confirmado no Crossref.
ghavami_marinho_2005,OK_CROSSREF,article,2005,2005,10.1590/s1415-43662005000100016,10.1590/s1415-43662005000100016,1.000,Propriedades físicas e mecânicas do colmo inteiro do bambu da espécie Guadua angustifolia,Propriedades físicas e mecânicas do colmo inteiro do bambu da espécie Guadua angustifolia,DOI confirmado no Crossref.
ghimire_et_al_2013,OK_CROSSREF,article,2004,2004,10.1163/1569159042464662,10.1163/1569159042464662,1.000,Litter decomposition and nutrient release in a bamboo plantation,Litter decomposition and nutrient release in a bamboo plantation,DOI confirmado no Crossref.
gyssels_et_al_2005,OK_CROSSREF,article,2005,2005,10.1191/0309133305pp443ra,10.1191/0309133305pp443ra,1.000,Impact of plant roots on the resistance of soils to erosion by water: a review,Impact of plant roots on the resistance of soils to erosion by water: a review,DOI confirmado no Crossref.
hayas_et_al_2024,OK_METADATA_NO_DOI,article,2024,,,,,"Modelling of gully widening, a review. Implications for research on gully evolution and restoration",,"Sem DOI, mas com metadados suficientes."
he_et_al_2024,OK_CROSSREF,article,2024,2024,10.1016/j.indcrop.2024.119694,10.1016/j.indcrop.2024.119694,1.000,Shear failure characteristics and stress-strain relationship of Moso bamboo parallel to the fibers,Shear failure characteristics and stress-strain relationship of Moso bamboo parallel to the fibers,DOI confirmado no Crossref.
hirimburegama_gamage_1995,OK_CROSSREF,article,1995,1995,10.1080/14620316.1995.11515317,10.1080/14620316.1995.11515317,0.973,Propagation of Bambusa vulgaris (yellow bamboo) through nodal bud culture,Propagation of<i>Bambusa vulgaris</i>(yellow bamboo) through nodal bud culture,DOI confirmado no Crossref.
holanda_2022_avaliacao_das_caracteristic,OK_CROSSREF,article,2022,2022,10.1590/1983-40632022v5271617,10.1590/1983-40632022v5271617,1.000,Evaluation of the biotechnical characteristics of vetiver and paspalum grasses for use in soil reinforcement techniques under erosion threat,Evaluation of the biotechnical characteristics of vetiver and paspalum grasses for use in soil reinforcement techniques under erosion threat,DOI confirmado no Crossref.
holanda_2024_resistance_of_the_fiber_der,OK_CROSSREF,article,2024,2024,10.1038/s41598-024-56978-3,10.1038/s41598-024-56978-3,1.000,Resistance of the fiber-derived geotextile from Typha domingensis submitted to field degradation,Resistance of the fiber-derived geotextile from Typha domingensis submitted to field degradation,DOI confirmado no Crossref.
holanda_et_al_2021,OK_METADATA_NO_DOI,article,2021,,,,,Soil bioengineering in northeastern Brazil: An overview,,"Sem DOI, mas com metadados suficientes."
hossain_et_al_2005,OK_CROSSREF,article,2005,2005,10.1163/156915905774310025,10.1163/156915905774310025,1.000,Effect of light intensity and rooting hormone on propagation of Bambusa vulgaris Schrad ex Wendl. by branch cutting,Effect of light intensity and rooting hormone on propagation of Bambusa vulgaris Schrad ex Wendl. by branch cutting,DOI confirmado no Crossref.
iwasaki_et_al_2022,OK_CROSSREF,article,2022,2022,10.1007/s40430-022-03433-x,10.1007/s40430-022-03433-x,1.000,Characterization of long bamboo Guadua Angustifolia fibre composite extracted via rotary-peeling method,Characterization of long bamboo Guadua Angustifolia fibre composite extracted via rotary–peeling method,DOI confirmado no Crossref.
janssen_2000,OK_CROSSREF,book,1995,1995,10.3362/9781780442143,10.3362/9781780442143,1.000,Building with Bamboo,Building with Bamboo,DOI confirmado no Crossref.
kadir_abd_hamid_2024,OK_CROSSREF,article,2024,2024,10.1007/s00107-024-02076-0,10.1007/s00107-024-02076-0,1.000,Understanding the termite resistance of Malaysian commercial bamboo for various applications,Understanding the termite resistance of Malaysian commercial bamboo for various applications,DOI confirmado no Crossref.
kalanzi_mwanja_2023,OK_CROSSREF,article,2023,2023,10.1016/j.bamboo.2023.100016,10.1016/j.bamboo.2023.100016,1.000,Effect of nodal cutting position and plant growth regulator on bud sprouting of Dendrocalamus giganteus Wall. Ex Munro in Uganda,Effect of nodal cutting position and plant growth regulator on bud sprouting of Dendrocalamus giganteus Wall. Ex Munro in Uganda,DOI confirmado no Crossref.
kaminski_et_al_2016,OK_METADATA_NO_DOI,book,2016,,,,,Structural use of bamboo -- Part 2: Durability and preservation,,"Sem DOI, mas com metadados suficientes."
khatun_et_al_2025,OK_CROSSREF,article,2025,2025,10.1016/j.bamboo.2025.100163,10.1016/j.bamboo.2025.100163,1.000,"Preservative treatment of the bamboos Dendrocalamus giganteus, Bambusa vulgaris and Gigantochloa nigrociliata","Preservative treatment of the bamboos Dendrocalamus giganteus, Bambusa vulgaris and Gigantochloa nigrociliata",DOI confirmado no Crossref.
lafayette_cantalice_coutinho_2011,OK_CROSSREF,article,2011,2011,10.1590/s0100-06832011000600031,10.1590/s0100-06832011000600031,1.000,"Resistência à erosão em ravinas, em latossolo argiloarenoso","Resistência à erosão em ravinas, em latossolo argiloarenoso",DOI confirmado no Crossref.
lee_et_al_2022,OK_CROSSREF,article,2022,2022,10.1016/j.still.2021.105292,10.1016/j.still.2021.105292,1.000,Modeling soil erodibility and critical shear stress parameters for soil loss estimation,Modeling soil erodibility and critical shear stress parameters for soil loss estimation,DOI confirmado no Crossref.
leroux_2020,OK_CROSSREF,article,2020,2020,10.5194/egusphere-egu2020-1471,10.5194/egusphere-egu2020-1471,1.000,Gully erosion susceptibility modelling for avoided degradation planning,Gully erosion susceptibility modelling for avoided degradation planning,DOI confirmado no Crossref.
liese_1998,OK_METADATA_NO_DOI,book,1998,,,,,The Anatomy of Bamboo Culms,,"Sem DOI, mas com metadados suficientes."
liu_et_al_2021,OK_METADATA_NO_DOI,article,2021,,,,,Three decades of ephemeral gully erosion studies,,"Sem DOI, mas com metadados suficientes."
lucas_borja_et_al_2021,OK_CROSSREF,article,2021,2021,10.1016/j.catena.2021.105390,10.1016/j.catena.2021.105390,1.000,"Check dams worldwide: Objectives, functions, effectiveness and undesired effects","Check dams worldwide: Objectives, functions, effectiveness and undesired effects",DOI confirmado no Crossref.
marzolff_ries_2007,OK_CROSSREF,article,2007,2007,10.1127/0372-8854/2007/0051-0405,10.1127/0372-8854/2007/0051-0405,1.000,Gully erosion monitoring in semi-arid landscapes,Gully erosion monitoring in semi-arid landscapes,DOI confirmado no Crossref.
meena_et_al_2023,OK_METADATA_NO_DOI,article,2023,,,,,Quantification of impact of land use systems on runoff and soil loss from ravine ecosystem of western India,,"Sem DOI, mas com metadados suficientes."
melo_et_al_2015,OK_METADATA_NO_DOI,article,2015,,,,,Par\^ametros caracter�sticos da equac\~ao de chuvas intensas para o estado de Sergipe,,"Sem DOI, mas com metadados suficientes."
meng_et_al_2023,OK_CROSSREF,article,2023,2023,10.1016/j.engstruct.2023.116975,10.1016/j.engstruct.2023.116975,1.000,A comprehensive evaluation of the effects of bamboo nodes on the mechanical properties of bamboo culms,A comprehensive evaluation of the effects of bamboo nodes on the mechanical properties of bamboo culms,DOI confirmado no Crossref.
morgan_rickson_2020,OK_CROSSREF,book,2003,2003,10.4324/9780203362136,10.4324/9780203362136,1.000,Slope Stabilization and Erosion Control: A Bioengineering Approach,Slope Stabilization and Erosion Control: A Bioengineering Approach,DOI confirmado no Crossref.
nascimento_pedrotti_2004,OK_METADATA_NO_DOI,techreport,2004,,,,,"Levantamento detalhado dos solos ocorrentes no Campus Rural -- UFS, Povoado de Timb\'o, Munic\'ipio de S\~ao Crist\'ov\~ao -- porc\~ao centro-litor\^anea do estado de Sergipe",,"Sem DOI, mas com metadados suficientes."
oliveira_1991,OK_CROSSREF,article,1991,1991,10.1127/zfg/34/1991/423,10.1127/zfg/34/1991/423,1.000,"Slope geometry and gully erosion development: Bananal, São Paulo, Brazil","Slope geometry and gully erosion development: Bananal, São Paulo, Brazil",DOI confirmado no Crossref.
piton_et_al_2017,OK_METADATA_NO_DOI,article,2017,,,,,Why do we build check dams in Alpine streams? An historical perspective from the French experience,,"Sem DOI, mas com metadados suficientes."
piton_recking_2016,OK_CROSSREF,article,2016,2016,10.1061/(asce)hy.1943-7900.0001048,10.1061/(asce)hy.1943-7900.0001048,1.000,Design of sediment traps with open check dams. I: Hydraulic and deposition processes,Design of Sediment Traps with Open Check Dams. I: Hydraulic and Deposition Processes,DOI confirmado no Crossref.
poesen_2018,OK_METADATA_NO_DOI,article,2018,,,,,Soil erosion in the Anthropocene: Research needs,,"Sem DOI, mas com metadados suficientes."
prats_et_al_2012,OK_CROSSREF,article,2012,2012,10.1016/j.geoderma.2012.02.009,10.1016/j.geoderma.2012.02.009,1.000,Effectiveness of forest residue mulching in reducing post-fire runoff and erosion in a pine and a eucalypt plantation in north-central Portugal,Effectiveness of forest residue mulching in reducing post-fire runoff and erosion in a pine and a eucalypt plantation in north-central Portugal,DOI confirmado no Crossref.
preti_et_al_2022,OK_CROSSREF,article,2022,2022,10.1016/j.ecoleng.2022.106687,10.1016/j.ecoleng.2022.106687,1.000,Soil and Water Bioengineering (SWB) is and has always been a nature-based solution (NBS): a reasoned comparison of terms and definitions,Soil and Water Bioengineering (SWB) is and has always been a nature-based solution (NBS): a reasoned comparison of terms and definitions,DOI confirmado no Crossref.
raj_et_al_2022,OK_METADATA_NO_DOI,article,2022,,,,,"Towards evaluating gully erosion volume and erosion rates in the Chambal badlands, Central India",,"Sem DOI, mas com metadados suficientes."
ramos_diez_et_al_2017,OK_CROSSREF,article,2017,2017,10.1016/j.ijsrc.2016.06.005,10.1016/j.ijsrc.2016.06.005,1.000,"Evaluating methods to quantify sediment volumes trapped behind check dams, Saldaña badlands (Spain)","Evaluating methods to quantify sediment volumes trapped behind check dams, Saldaña badlands (Spain)",DOI confirmado no Crossref.
romano_et_al_2016,OK_METADATA_NO_DOI,article,2016,,,,,Residual life and degradation assessment of wood elements used in soil bioengineering structures for slope protection,,"Sem DOI, mas com metadados suficientes."
santos_2025_analysis_of_fracture_charact,OK_CROSSREF,article,2025,2025,10.1007/s42452-025-06594-1,10.1007/s42452-025-06594-1,1.000,"Analysis of fracture characteristics and biodegradation resistance of natural fibers geotextiles from Typha domingensis, Eleocharis sp., and Syagrus coronata, under waterproofing Resin","Analysis of fracture characteristics and biodegradation resistance of natural fibers geotextiles from Typha domingensis, Eleocharis sp., and Syagrus coronata, under waterproofing Resin",DOI confirmado no Crossref.
shao_et_al_2010,OK_METADATA_NO_DOI,article,2010,,,,,Differences in structure and strength between internode and node sections of moso bamboo,,"Sem DOI, mas com metadados suficientes."
sharma_et_al_2015,OK_CROSSREF,article,2015,2015,10.1016/j.conbuildmat.2015.01.077,10.1016/j.conbuildmat.2015.01.077,1.000,Engineered bamboo for structural applications,Engineered bamboo for structural applications,DOI confirmado no Crossref.
sidorchuk_2006,OK_METADATA_NO_DOI,article,2006,,,,,Stages in gully evolution and self‐organized criticality,,"Sem DOI, mas com metadados suficientes."
souza_2025_estrategias_para_controle_da_,OK_CROSSREF,article,2025,2025,10.26848/rbgf.v18.4.p2792-2809,10.26848/rbgf.v18.4.p2792-2809,1.000,Estratégias para Controle da Erosão Linear em Ambientes Tropicais e Subtropicais,Estratégias para Controle da Erosão Linear em Ambientes Tropicais e Subtropicais,DOI confirmado no Crossref.
stokes_et_al_2014,OK_CROSSREF,article,2009,2009,10.1007/s11104-009-0159-y,10.1007/s11104-009-0159-y,1.000,Desirable plant root traits for protecting natural and engineered slopes against landslides,Desirable plant root traits for protecting natural and engineered slopes against landslides,DOI confirmado no Crossref.
tang_catchment_2019,OK_CROSSREF,article,2019,2019,10.3390/w11061161,10.3390/w11061161,1.000,"Physics-Based Simulation of Hydrologic Response and Sediment Transport in a Hilly-Gully Catchment with a Check Dam System on the Loess Plateau, China","Physics-Based Simulation of Hydrologic Response and Sediment Transport in a Hilly-Gully Catchment with a Check Dam System on the Loess Plateau, China",DOI confirmado no Crossref.
tardio_mickovski_2017,OK_CROSSREF,incollection,2017,2017,10.1680/jfoen.16.00033,10.1680/jfoen.16.00033,1.000,Bamboo structures as a resilient erosion control measure,Bamboo structures as a resilient erosion control measure,DOI confirmado no Crossref.
thwaites_et_al_2022,OK_METADATA_NO_DOI,article,2022,,,,,What type of gully is that? The need for a classification of gullies,,"Sem DOI, mas com metadados suficientes."
trujillo_lopez_2016,OK_CROSSREF,incollection,2016,2016,10.1016/b978-0-08-100038-0.00013-5,10.1016/b978-0-08-100038-0.00013-5,1.000,Bamboo material characterisation,Bamboo material characterisation,DOI confirmado no Crossref.
vanmaercke_et_al_2021,OK_METADATA_NO_DOI,article,2021,,,,,"Measuring, modelling and managing gully erosion at large scales: A state of the art",,"Sem DOI, mas com metadados suficientes."
vannoppen_2015,OK_CROSSREF,article,2015,2015,10.1016/j.earscirev.2015.08.011,10.1016/j.earscirev.2015.08.011,1.000,A review of the mechanical effects of plant roots on concentrated flow erosion rates,A review of the mechanical effects of plant roots on concentrated flow erosion rates,DOI confirmado no Crossref.
wang_et_al_1999,OK_CROSSREF,article,1999,1999,10.1097/00010694-199907000-00001,10.1097/00010694-199907000-00001,1.000,Modified Green and Ampt models for layered soil infiltration and muddy water infiltration,MODIFIED GREEN AND AMPT MODELS FOR LAYERED SOIL INFILTRATION AND MUDDY WATER INFILTRATION,DOI confirmado no Crossref.
wang_et_al_2021,OK_CROSSREF,article,2021,2021,10.1016/j.ijsrc.2021.02.002,10.1016/j.ijsrc.2021.02.002,1.000,Erosion-control mechanism of sediment check dams on the Loess Plateau,Erosion-control mechanism of sediment check dams on the Loess Plateau,DOI confirmado no Crossref.
wilkinson_et_al_2024,OK_METADATA_NO_DOI,article,2024,,,,,Achieving change through gully erosion research,,"Sem DOI, mas com metadados suficientes."
yue_et_al_2020,OK_CROSSREF,article,2020,2020,10.1016/j.jhydrol.2020.124694,10.1016/j.jhydrol.2020.124694,1.000,"Response of runoff and soil erosion to erosive rainstorm events and vegetation restoration on abandoned slope farmland in the Loess Plateau region, China","Response of runoff and soil erosion to erosive rainstorm events and vegetation restoration on abandoned slope farmland in the Loess Plateau region, China",DOI confirmado no Crossref.
zema_et_al_2014,OK_METADATA_NO_DOI,article,2014,,,,,"Evaluation and modeling of scouring and sedimentation around check dams in a Mediterranean torrent in Calabria, Italy",,"Sem DOI, mas com metadados suficientes."
zema_et_al_2018,OK_CROSSREF,article,2018,2018,10.1016/j.scitotenv.2018.06.035,10.1016/j.scitotenv.2018.06.035,1.000,"Evaluating the effects of check dams on channel geometry, bed sediment size and riparian vegetation in Mediterranean mountain torrents","Evaluating the effects of check dams on channel geometry, bed sediment size and riparian vegetation in Mediterranean mountain torrents",DOI confirmado no Crossref.
